    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

   35. CH2CHO                   2.509397e+07     8.076797e+07     1.000000e+03     3.409062e+00     5.369287e-03     6.304973e-07    -1.789646e-09     5.734770e-13     1.521477e+03     5.975670e+00     4.065295e-03    -9.145413e-07     1.017576e-10    -4.352034e-15     4.903218e+02
   36. CH3CHO                  -1.661973e+08    -1.045420e+08     1.000000e+03     4.729459e+00    -1.596643e-03     1.584497e-05    -1.436465e-08     4.386222e-12    -2.157288e+04     5.404111e+00     5.861529e-03    -1.408771e-06     1.709311e-10    -8.196973e-15    -2.259312e+04

 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                             ENTROPY COEFFICIENTS                                                                     

             S/R = A*lnT + B*T + C*T^2 + D*T^3 + E*T^4 + F  [-]                                                         

    Species                 S(298K)[J/kmol/K] S(1000K)[J/kmol/K]     LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                       1.306658e+05     1.662357e+05     1.000000e+03     2.344331e+00     7.980521e-03    -9.739075e-06     6.719070e-09    -1.844029e-12     6.830102e-01     3.337279e+00    -4.940247e-05     2.497284e-07    -5.985546e-11     5.006384e-15    -3.205023e+00
    2. H                        1.147067e+05     1.398717e+05     1.000000e+03     2.500000e+00     7.053328e-13    -9.979598e-16     7.669388e-19    -2.319331e-22    -4.466829e-01     2.500000e+00    -2.308430e-11     8.078097e-15    -1.578384e-18     1.245493e-22    -4.466829e-01
    3. O                        1.610485e+05     1.867864e+05     1.000000e+03     3.168267e+00    -3.279319e-03     3.321532e-06    -2.042689e-09     5.281649e-13     2.051933e+00     2.569421e+00    -8.597411e-05     2.097423e-08    -3.339260e-12     3.070842e-16     4.784339e+00
    4. O2                       2.051335e+05     2.435864e+05     1.000000e+03     3.782456e+00    -2.996734e-03     4.923651e-06    -3.227098e-09     8.109321e-13     3.657676e+00     3.282538e+00     1.483088e-03    -3.789833e-07     6.982352e-11    -5.417945e-15     5.453231e+00
    5. OH                       1.837236e+05     2.197255e+05     1.000000e+03     3.992015e+00    -2.401318e-03     2.308969e-06    -1.293711e-09     3.410287e-13    -1.039255e-01     3.092888e+00     5.484297e-04     6.325261e-08    -2.931539e-11     2.935309e-15     4.476696e+00
    6. H2O                      1.888111e+05     2.327350e+05     1.000000e+03     4.198641e+00    -2.036434e-03     3.260201e-06    -1.829324e-09     4.429945e-13    -8.490322e-01     3.033992e+00     2.176918e-03    -8.203626e-08    -3.234733e-11     4.205025e-15     4.966770e+00
    7. HO2                      2.290868e+05     2.784795e+05     1.000000e+03     4.301798e+00    -4.749121e-03     1.057914e-05    -8.092130e-09     2.323063e-12     3.716662e+00     4.017211e+00     2.239820e-03    -3.168291e-07     3.808212e-11    -2.697713e-15     3.785102e+00
    8. H2O2                     2.345042e+05     2.973346e+05     1.000000e+03     4.276113e+00    -5.428224e-04     8.366785e-06    -7.192360e-09     2.156136e-12     3.435051e+00     4.165003e+00     4.908317e-03    -9.506961e-07     1.237287e-10    -7.197708e-15     2.916157e+00
    9. C                        1.580902e+05     1.832780e+05     1.000000e+03     2.554240e+00    -3.215377e-04     3.668961e-07    -2.440783e-10     6.663036e-14     4.531308e+00     2.492669e+00     4.798893e-05    -3.621675e-08     1.247637e-11    -1.218195e-15     4.801504e+00
   10. CH                       1.830217e+05     2.192747e+05     1.000000e+03     3.489817e+00     3.238355e-04    -8.444953e-07     1.054058e-09    -3.515227e-13     2.084011e+00     2.878465e+00     9.709137e-04     7.222283e-08    -4.356262e-11     4.401985e-15     5.484980e+00
   11. CH2                      1.944008e+05     2.416077e+05     1.000000e+03     3.762679e+00     9.688721e-04     1.397449e-06    -1.283637e-09     4.218543e-13     1.562532e+00     2.874101e+00     3.656393e-03    -7.044730e-07     8.672652e-11    -4.693189e-15     6.171193e+00
   12. CH2(S)                   1.892028e+05     2.348011e+05     1.000000e+03     4.198604e+00    -2.366614e-03     4.116481e-06    -2.229387e-09     4.857868e-13    -7.691190e-01     2.292038e+00     4.655886e-03    -1.005960e-06     1.393020e-10    -8.492909e-15     8.626502e+00
   13. CH3                      1.939885e+05     2.511172e+05     1.000000e+03     3.673590e+00     2.010952e-03     2.865109e-06    -2.290391e-09     6.359643e-13     1.604564e+00     2.285718e+00     7.239900e-03    -1.493572e-06     1.985615e-10    -1.167886e-14     8.480072e+00
   14. CH4                      1.863523e+05     2.482788e+05     1.000000e+03     5.149876e+00    -1.367098e-02     2.459003e-05    -1.615810e-08     4.167349e-12    -4.641304e+00     7.485150e-02     1.339095e-02    -2.866429e-06     4.076418e-10    -2.545381e-14     1.843732e+01
   15. CO                       1.976416e+05     2.345446e+05     1.000000e+03     3.579533e+00    -6.103537e-04     5.084072e-07     3.023353e-10    -2.261061e-13     3.508409e+00     2.715186e+00     2.062527e-03    -4.994129e-07     7.668434e-11    -5.091193e-15     7.818688e+00
   16. CO2                      2.137676e+05     2.692862e+05     1.000000e+03     2.356774e+00     8.984597e-03    -3.561781e-06     8.197301e-10    -3.592489e-14     9.901052e+00     3.857460e+00     4.414370e-03    -1.107407e-06     1.744967e-10    -1.180210e-14     2.271638e+00
   17. HCO                      2.243170e+05     2.730937e+05     1.000000e+03     4.221186e+00    -3.243925e-03     6.889972e-06    -4.438136e-09     1.084422e-12     3.394372e+00     2.772174e+00     4.956955e-03    -1.242228e-06     1.963873e-10    -1.333772e-14     9.798345e+00
   18. CH2O                     2.187451e+05     2.753818e+05     1.000000e+03     4.793723e+00    -9.908334e-03     1.866100e-05    -1.264284e-08     3.294316e-12     6.028129e-01     1.760690e+00     9.200001e-03    -2.211294e-06     3.354707e-10    -2.209639e-14     1.365632e+01
   19. CH2OH                    2.438932e+05     3.187343e+05     1.000000e+03     3.863889e+00     5.596723e-03     2.966359e-06    -3.484400e-09     1.092418e-12     5.473022e+00     3.692666e+00     8.645768e-03    -1.875506e-06     2.624115e-10    -1.621386e-14     5.810432e+00
   20. CH3O                     2.284649e+05     2.963843e+05     1.000000e+03     2.106204e+00     7.216595e-03     2.669236e-06    -2.459212e-09     5.189025e-13     1.315218e+01     3.770799e+00     7.871497e-03    -1.328192e-06     1.314810e-10    -5.281540e-15     2.929575e+00
   21. CH3OH                    2.397867e+05     3.176778e+05     1.000000e+03     5.715396e+00    -1.523091e-02     3.262206e-05    -2.369356e-08     6.533817e-12    -1.504098e+00     1.789708e+00     1.409383e-02    -3.182504e-06     4.605703e-10    -2.926505e-14     1.450236e+01
   22. C2H                      2.133145e+05     2.697925e+05     1.000000e+03     2.889657e+00     1.340996e-02    -1.423848e-05     9.826368e-09    -2.733288e-12     6.222964e+00     3.167807e+00     4.752219e-03    -9.189354e-07     1.013968e-10    -4.430819e-15     6.635895e+00
   23. C2H2                     2.008933e+05     2.689070e+05     1.000000e+03     8.086811e-01     2.336156e-02    -1.775859e-05     9.338415e-09    -2.125182e-12     1.393971e+01     4.147570e+00     5.961667e-03    -1.186474e-06     1.558041e-10    -9.030880e-15    -1.230281e+00
   24. C2H3                     2.338702e+05     3.070828e+05     1.000000e+03     3.212466e+00     1.514792e-03     1.296047e-05    -1.192193e-08     3.678772e-12     8.510540e+00     3.016724e+00     1.033023e-02    -2.340412e-06     3.392110e-10    -2.156518e-14     7.787324e+00
   25. C2H4                     2.192999e+05     3.003156e+05     1.000000e+03     3.959201e+00    -7.570522e-03     2.854951e-05    -2.305296e-08     6.747109e-12     4.097331e+00     2.036111e+00     1.464542e-02    -3.355390e-06     4.907431e-10    -3.142652e-14     1.030537e+01
   26. C2H5                     2.470917e+05     3.402079e+05     1.000000e+03     4.306466e+00    -4.186589e-03     2.485714e-05    -1.997089e-08     5.762725e-12     4.707209e+00     1.954656e+00     1.739727e-02    -3.991033e-06     5.840590e-10    -3.741039e-14     1.346243e+01
   27. C2H6                     2.291936e+05     3.316049e+05     1.000000e+03     4.291425e+00    -5.501543e-03     2.997191e-05    -2.361554e-08     6.717144e-12     2.666823e+00     1.071881e+00     2.168527e-02    -5.012803e-06     7.380400e-10    -4.750072e-14     1.511561e+01
   28. HCCO                     2.466790e+05     3.186700e+05     1.000000e+03     2.251721e+00     1.765502e-02    -1.186455e-05     5.758586e-09    -1.266620e-12     1.249042e+01     5.628206e+00     4.085340e-03    -7.967274e-07     9.542017e-11    -4.851958e-15    -3.930260e+00
   29. CH2CO                    2.418612e+05     3.242806e+05     1.000000e+03     2.135836e+00     1.811887e-02    -8.697374e-06     3.114659e-09    -5.036440e-13     1.221565e+01     4.511297e+00     9.003597e-03    -2.084698e-06     3.077820e-10    -1.987096e-14     6.322472e-01
