    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

   30. HCCOH                    2.353496e+05     3.240187e+05     1.000000e+03     1.242373e+00     3.107220e-02    -2.543343e-05     1.437904e-08    -3.503648e-12     1.387432e+01     5.923829e+00     6.792360e-03    -1.282928e-06     1.499595e-10    -7.485025e-15    -7.601774e+00
   31. N2                       1.914976e+05     2.280885e+05     1.000000e+03     3.298677e+00     1.408240e-03    -1.981611e-06     1.880505e-09    -6.112135e-13     3.950372e+00     2.926640e+00     1.487977e-03    -2.842380e-07     3.365679e-11    -1.688338e-15     5.980528e+00
   32. AR                       1.547216e+05     1.798866e+05     1.000000e+03     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     4.366000e+00     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     4.366000e+00
   33. C3H7                     2.894276e+05     4.271573e+05     1.000000e+03     1.051552e+00     2.599198e-02     1.190027e-06    -6.536523e-09     2.343312e-12     2.112256e+01     7.702699e+00     1.604420e-02    -2.641661e-06     2.543286e-10    -9.848071e-15    -1.548018e+01
   34. C3H8                     2.701433e+05     4.172273e+05     1.000000e+03     9.335538e-01     2.642458e-02     3.052986e-06    -7.325833e-09     2.378731e-12     1.920169e+01     7.534137e+00     1.887224e-02    -3.135925e-06     3.049188e-10    -1.195952e-14    -1.789235e+01
   35. CH2CHO                   2.677807e+05     3.585381e+05     1.000000e+03     3.409062e+00     1.073857e-02     9.457460e-07    -2.386194e-09     7.168462e-13     9.558290e+00     5.975670e+00     8.130591e-03    -1.371812e-06     1.356768e-10    -5.440043e-15    -5.045251e+00
   36. CH3CHO                   2.639228e+05     3.631512e+05     1.000000e+03     4.729459e+00    -3.193286e-03     2.376746e-05    -1.915287e-08     5.482778e-12     4.103016e+00     5.404111e+00     1.172306e-02    -2.113157e-06     2.279082e-10    -1.024622e-14    -3.480792e+00

 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


